,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
oil_ret,6522.0,0.00022822875928067685,0.026711794831106563,-0.6436989051459641,-0.011653904551901961,0.0007271778184696487,0.012945682626416377,0.41202250865432344,-1.8699794714059486,70.04774736909066
nok_strength,6522.0,-2.239254205645251e-05,0.00774129058178297,-0.061158971855472366,-0.004315659117991366,6.1003823122907086e-05,0.004469380842287318,0.0644395141773011,-0.17640787123509175,4.201873271402965
sek_strength,6522.0,-1.4956727829562595e-05,0.007365936593164992,-0.05471497865360364,-0.004193637100208425,-0.0,0.004217835153376537,0.053016149519514055,0.09922131583358794,3.4354132786321094
nok_loss,6522.0,2.239254205645251e-05,0.00774129058178297,-0.0644395141773011,-0.004469380842287318,-6.1003823122907086e-05,0.004315659117991366,0.061158971855472366,0.17640787123509175,4.201873271402965
sek_loss,6522.0,1.4956727829562595e-05,0.007365936593164992,-0.053016149519514055,-0.004217835153376537,0.0,0.004193637100208425,0.05471497865360364,-0.09922131583358794,3.4354132786321094
