model,variable,coef,std_err,t_stat,p_value,r2,nobs
NOK base,const,-4.021574349979025e-05,8.864021623833551e-05,-0.45369636048335327,0.650047386833657,0.07261228338484638,6522
NOK base,oil_ret,0.07809358250692028,0.010545901044783678,7.405112391562571,1.3103944031492339e-13,0.07261228338484638,6522
SEK base,const,-2.4996706109786204e-05,8.643172146587035e-05,-0.28920754655635034,0.7724225571832626,0.025449250492639686,6522
SEK base,oil_ret,0.04399085510462012,0.007502772481149863,5.863279902881735,4.5381226463969394e-09,0.025449250492639686,6522
