model,variable,coef,std_err,t_stat,p_value,r2,nobs
NOK lagged,const,-4.466536092717881e-05,8.88892032225013e-05,-0.5024835335217887,0.6153274324756264,0.07449981886369428,6517
NOK lagged,oil_ret,0.07813014324060252,0.010222282780290273,7.643120907518461,2.1201872227037697e-14,0.07449981886369428,6517
NOK lagged,oil_ret_lag_1,0.011641824257469723,0.006844351686967643,1.7009389332866933,0.08895445480192397,0.07449981886369428,6517
NOK lagged,oil_ret_lag_2,0.004588361290921159,0.005541731530005821,0.8279652787359656,0.40769016377217704,0.07449981886369428,6517
NOK lagged,oil_ret_lag_3,0.002136047967194277,0.006066453634842483,0.3521081830949722,0.7247571316707838,0.07449981886369428,6517
NOK lagged,oil_ret_lag_4,0.0036453636979135247,0.004381927806944847,0.831908661784899,0.40546050232806274,0.07449981886369428,6517
NOK lagged,oil_ret_lag_5,-0.0001303936381447299,0.004573987578425623,-0.02850765025243284,0.9772572664911844,0.07449981886369428,6517
SEK lagged,const,-2.6203988140254252e-05,8.659313705543268e-05,-0.30261044964198197,0.7621867499902495,0.025973822820455128,6517
SEK lagged,oil_ret,0.04406307193065219,0.00737935589376688,5.971127096318927,2.356200930797161e-09,0.025973822820455128,6517
SEK lagged,oil_ret_lag_1,0.000539911146333499,0.004660104324017918,0.11585816728411573,0.9077649500284929,0.025973822820455128,6517
SEK lagged,oil_ret_lag_2,0.006107523402444096,0.0041299129287698634,1.4788504038179042,0.139180301168572,0.025973822820455128,6517
SEK lagged,oil_ret_lag_3,0.002736035105759253,0.004001970878222647,0.6836719179161991,0.4941823600267432,0.025973822820455128,6517
SEK lagged,oil_ret_lag_4,0.0002247473592253885,0.0039259557441375745,0.05724653406014371,0.9543488100933353,0.025973822820455128,6517
SEK lagged,oil_ret_lag_5,-0.0013816693439239367,0.004124254892751502,-0.33501065764685417,0.7376170466764165,0.025973822820455128,6517
