observation_date,real_oil_ret_cpi,real_oil_ret_ppi,real_nok_strength,real_sek_strength
2000-01-05,-0.009649749727399293,-0.009649749727399293,-0.000126031886233946,0.0008376713228406274
2000-01-06,-0.007192753667097929,-0.007192753667097929,-0.0006299212806721854,-0.0017343983295754484
2000-01-07,-0.008528836347520663,-0.008528836347520663,-0.003269209500407655,-0.00566067353942401
2000-01-10,-0.02515310403925808,-0.02515310403925808,-0.007254565900182364,-0.004032263527939506
2000-01-11,0.049689021844633974,0.049689021844633974,0.006878036244023278,0.006173591969282022
2000-01-12,0.028426218836025363,0.028426218836025363,-0.001003386513381166,-0.0024977711469524877
2000-01-13,0.011308682714354479,0.011308682714354479,0.004334313767458298,0.0001188001189396104
2000-01-14,0.023810648693718406,0.023810648693718406,-0.006838384188219138,-0.006749181974928575
2000-01-18,0.03127064288782089,0.03127064288782089,-0.0016242897305147608,0.0007082989317490629
2000-01-19,-0.005335378510146427,-0.005335378510146871,0.001249219400431656,-0.002241227714921301
2000-01-20,0.003433152332595224,0.003433152332595668,0.002879140750843945,0.002241227714921301
2000-01-21,0.034434539848347434,0.034434539848347434,-0.002754132937692333,-0.0029479415252540164
2000-01-24,-0.005904076190944796,-0.005904076190944796,-0.0033697379780406322,-0.0038780235451465472
2000-01-25,0.008109148749258832,0.008109148749258832,-0.0012451751079627371,0.000586613497199906
2000-01-26,-0.0022050725583140363,-0.0022050725583140363,-0.003912197991292388,-0.0008797912529718843
2000-01-27,-0.009983443984182827,-0.009983443984182827,-0.009867486785599233,-0.010091373881101262
2000-01-28,-0.011962759483886476,-0.011962759483886032,-0.01492337730601978,-0.023517000038808078
2000-01-31,0.018260242789145842,0.018260242789145398,-0.0037414804372986055,0.0005670541688669317
2000-02-01,0.005794932912744244,-0.001702451824482587,0.0027880172533842895,0.0059407606473680374
2000-02-02,-0.007339482488045945,-0.007339482488045945,0.006302287251823913,0.006866586833359278
2000-02-03,0.016438726343160237,0.016438726343159793,0.008179255756068926,0.01515794136401638
2000-02-04,-0.004357305368956066,-0.004357305368955622,-0.013635468140233087,-0.009976880899719376
2000-02-07,0.016600886474667398,0.016600886474667398,0.0013309942070192093,0.0003463603336602006
2000-02-08,-0.011881327886752668,-0.011881327886752668,0.00918358286477794,0.007534083739530573
2000-02-09,-0.006176223084378485,-0.006176223084378929,0.004715689909794207,0.005951356616973769
2000-02-10,-0.00438276815509564,-0.004382768155095196,-0.003676474729308765,-0.004787212131599716
2000-02-11,0.01813615179270789,0.01813615179270789,-0.004515782373370136,-0.002675509069989701
2000-02-14,0.0075201786813998694,0.0075201786813998694,-0.004374247557971778,-0.00821431124267935
2000-02-15,0.003205701765767177,0.003205701765767177,-0.0004242552868269911,-0.00011521401015102128
2000-02-16,-0.0003556820240233627,-0.0003556820240233627,0.0015160246680325784,0.0012104096696683442
2000-02-17,-0.020485891617931795,-0.020485891617931795,-0.0055676735450731485,-0.0012104096696683442
2000-02-18,-0.010219067032122275,-0.010219067032122275,0.003385325443234777,0.0008644288104910913
2000-02-22,-0.0014684290450666104,-0.0014684290450666104,0.013657083381283464,0.015454641784658385
2000-02-23,0.025391280670851835,0.025391280670851835,-0.003982238376393887,-0.004381743931174853
2000-02-24,0.010333247119733269,0.010333247119733269,-0.0034181807071442805,-0.004884866656977849
2000-02-25,0.011279640211503406,0.011279640211503406,-0.012895592659379673,-0.00877907914098408
2000-02-28,0.005940957540166991,0.005940957540166991,-0.0036626778464654564,0.0006327475835945506
