period,nobs,nok_beta,nok_p_value,nok_r2,sek_beta,sek_p_value,sek_r2
2000-2019,4969,0.10234335290040009,3.6576476704508924e-49,0.09293186393252828,0.07576787376763257,1.5318627408649826e-22,0.052093326653249394
2020-2021,489,0.03992066828527403,0.027164621632066406,0.05465188275799948,0.01438907867564013,0.10632257429885057,0.016531375629727507
2022-2023,486,0.10941508302956765,1.3698386629825235e-08,0.09729398830165525,0.028879916724355845,0.22344770814582848,0.008124724112274273
2024-now,578,0.031223568352958912,0.012930091607657361,0.015101396228957897,-0.046365790913867125,0.0006432163651453916,0.0333677678270603
